epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9058,1.69838,2.77086,1.65547,0.00123,0.12366,0.00113,0.00028,4.86768,3.95725,5.3893,0.07525,0.00025,0.00025
2,32.4311,1.56924,1.69698,1.5362,0.02267,0.62903,0.19756,0.07622,2.1112,3.47491,2.27538,0.04951,0.000509995,0.000509995
3,47.0263,1.54457,1.56535,1.54095,0.63325,0.6034,0.65904,0.32111,1.63748,1.77301,1.747,0.02377,0.00076997,0.00076997
4,61.4988,1.55326,1.56189,1.56933,0.08175,0.06452,0.02766,0.01262,3.17121,3.98701,2.99187,0.000999912,0.000999912,0.000999912
5,75.9887,1.55963,1.5529,1.58352,0.51036,0.43011,0.40178,0.18267,1.82902,2.37652,2.1592,0.000999844,0.000999844,0.000999844
6,90.5001,1.53982,1.51703,1.56618,0.66005,0.64516,0.661,0.32071,1.46991,2.1982,1.77271,0.000999756,0.000999756,0.000999756
7,105.051,1.49948,1.47323,1.52691,0.4739,0.57527,0.57555,0.34369,1.4657,2.72731,1.65354,0.000999648,0.000999648,0.000999648
8,119.664,1.49264,1.45673,1.52074,0.67913,0.64516,0.66938,0.33071,1.73022,1.51845,1.7949,0.000999521,0.000999521,0.000999521
9,134.195,1.50288,1.44494,1.52948,0.81053,0.67742,0.76374,0.43275,1.47821,1.42756,1.56557,0.000999375,0.000999375,0.000999375
10,148.69,1.44545,1.37946,1.48344,0.75928,0.67742,0.74981,0.36211,1.6096,1.58527,1.57849,0.000999209,0.000999209,0.000999209
11,163.203,1.42576,1.32638,1.483,0.78841,0.79032,0.83913,0.49476,1.30225,1.5408,1.52246,0.000999023,0.000999023,0.000999023
12,177.771,1.41578,1.31827,1.47398,0.804,0.73118,0.83423,0.53558,1.23445,1.20762,1.39953,0.000998818,0.000998818,0.000998818
13,192.346,1.41188,1.29852,1.47822,0.85151,0.77075,0.83295,0.49868,1.31455,1.28305,1.42684,0.000998594,0.000998594,0.000998594
14,206.792,1.43122,1.31183,1.47836,0.8335,0.77957,0.84857,0.52906,1.26964,1.32259,1.39615,0.00099835,0.00099835,0.00099835
15,221.351,1.40658,1.26952,1.46127,0.86955,0.60215,0.73988,0.48783,1.35331,1.28478,1.41416,0.000998086,0.000998086,0.000998086
16,235.863,1.36927,1.22478,1.42748,0.77032,0.79032,0.83942,0.51633,1.25311,1.01688,1.34545,0.000997803,0.000997803,0.000997803
17,250.299,1.37541,1.22834,1.44625,0.87359,0.80108,0.87919,0.52391,1.31192,1.09481,1.39877,0.000997501,0.000997501,0.000997501
18,264.756,1.36454,1.21501,1.44595,0.84352,0.81183,0.86168,0.5349,1.24192,1.13979,1.33137,0.000997179,0.000997179,0.000997179
19,279.341,1.34906,1.20277,1.42952,0.76605,0.70419,0.76488,0.33708,1.77544,1.22727,1.61118,0.000996838,0.000996838,0.000996838
20,293.878,1.34786,1.18446,1.4157,0.86,0.79032,0.88482,0.56038,1.19831,0.91821,1.31115,0.000996477,0.000996477,0.000996477
21,308.411,1.32947,1.15789,1.40406,0.764,0.74194,0.76958,0.51054,1.2637,1.23024,1.37726,0.000996097,0.000996097,0.000996097
22,322.879,1.34808,1.15207,1.4172,0.7531,0.63441,0.71406,0.40648,1.56289,1.33592,1.71766,0.000995697,0.000995697,0.000995697
23,337.347,1.29043,1.09276,1.37648,0.86635,0.83871,0.90559,0.60827,1.15809,0.95068,1.28131,0.000995278,0.000995278,0.000995278
24,351.863,1.31196,1.11388,1.40007,0.84451,0.77957,0.87864,0.60034,1.13568,0.90005,1.24605,0.00099484,0.00099484,0.00099484
25,366.325,1.29416,1.09155,1.39408,0.84674,0.87097,0.90528,0.59061,1.1546,0.85258,1.26041,0.000994383,0.000994383,0.000994383
26,380.846,1.29906,1.09837,1.3961,0.88105,0.7957,0.88706,0.53239,1.30787,0.94276,1.29648,0.000993906,0.000993906,0.000993906
27,395.399,1.29825,1.08535,1.3961,0.81273,0.67204,0.80356,0.53218,1.21515,1.0366,1.30276,0.00099341,0.00099341,0.00099341
28,409.838,1.25975,1.05466,1.36246,0.89404,0.81651,0.90465,0.60631,1.13678,0.84542,1.26593,0.000992894,0.000992894,0.000992894
29,424.267,1.24899,1.04112,1.35847,0.84311,0.75806,0.8184,0.53593,1.24034,1.04519,1.30084,0.000992359,0.000992359,0.000992359
30,438.718,1.26211,1.05089,1.35693,0.85167,0.77176,0.86819,0.57552,1.1816,0.89296,1.35861,0.000991805,0.000991805,0.000991805
31,453.186,1.25245,1.05364,1.3609,0.82884,0.62903,0.68547,0.38314,1.63521,1.49582,1.58742,0.000991232,0.000991232,0.000991232
32,467.789,1.2479,1.02862,1.36351,0.90518,0.87257,0.91462,0.63676,1.0687,0.75482,1.23137,0.00099064,0.00099064,0.00099064
33,482.324,1.25474,1.01739,1.35007,0.88078,0.83409,0.92275,0.65054,1.04071,0.89985,1.17741,0.000990028,0.000990028,0.000990028
34,496.858,1.23125,1.0089,1.33666,0.82024,0.83408,0.8944,0.58618,1.18336,0.84703,1.29607,0.000989398,0.000989398,0.000989398
35,511.315,1.25455,1.0415,1.3627,0.78596,0.71072,0.80188,0.52506,1.23276,1.03165,1.34133,0.000988748,0.000988748,0.000988748
36,525.832,1.21493,1.00438,1.33497,0.90062,0.877,0.91209,0.60961,1.14676,0.81209,1.26682,0.000988079,0.000988079,0.000988079
37,540.342,1.22288,0.99187,1.33664,0.92809,0.84946,0.93618,0.58963,1.22685,0.78821,1.32262,0.000987391,0.000987391,0.000987391
38,554.866,1.22932,0.98147,1.34329,0.78892,0.84409,0.87828,0.59895,1.13793,0.81961,1.2725,0.000986684,0.000986684,0.000986684
39,569.353,1.2032,0.95982,1.31798,0.87571,0.87097,0.92052,0.65941,1.03423,0.78718,1.20948,0.000985958,0.000985958,0.000985958
40,583.852,1.19139,0.96512,1.31723,0.85569,0.79698,0.84085,0.58667,1.09497,0.92414,1.24984,0.000985213,0.000985213,0.000985213
41,598.27,1.19515,0.96555,1.31971,0.8218,0.80645,0.86804,0.60776,1.12946,0.865,1.26688,0.000984449,0.000984449,0.000984449
42,612.721,1.19886,0.96136,1.31762,0.86694,0.84409,0.89729,0.62458,1.04529,0.83512,1.20133,0.000983666,0.000983666,0.000983666
43,627.165,1.19069,0.94357,1.31717,0.89573,0.87752,0.92795,0.64772,1.00337,0.71344,1.1917,0.000982864,0.000982864,0.000982864
44,641.68,1.20136,0.96154,1.33191,0.92529,0.799,0.92439,0.68658,0.93238,0.75587,1.16384,0.000982043,0.000982043,0.000982043
45,656.306,1.19636,0.94086,1.31517,0.85098,0.89037,0.9188,0.67605,0.96554,0.71744,1.19572,0.000981204,0.000981204,0.000981204
46,670.826,1.16577,0.91782,1.2978,0.87541,0.89247,0.94512,0.6724,1.01349,0.71649,1.18224,0.000980345,0.000980345,0.000980345
47,685.341,1.16899,0.92366,1.30101,0.87735,0.84613,0.9106,0.63766,1.10084,0.73492,1.20443,0.000979468,0.000979468,0.000979468
48,699.815,1.1452,0.91248,1.28852,0.94607,0.84884,0.94512,0.68918,0.9355,0.6717,1.15016,0.000978572,0.000978572,0.000978572
49,714.295,1.13192,0.90077,1.2958,0.84731,0.83871,0.894,0.55953,1.24012,0.8129,1.37504,0.000977658,0.000977658,0.000977658
50,728.725,1.14927,0.91097,1.29122,0.89735,0.84599,0.90498,0.62247,1.05338,0.76661,1.2477,0.000976725,0.000976725,0.000976725
51,743.223,1.15469,0.90359,1.30063,0.87182,0.82258,0.90752,0.66056,0.96769,0.76034,1.19356,0.000975773,0.000975773,0.000975773
52,757.738,1.14997,0.88108,1.28889,0.901,0.88172,0.9355,0.64519,1.0834,0.71645,1.18807,0.000974803,0.000974803,0.000974803
53,772.203,1.15187,0.88783,1.29466,0.85457,0.90323,0.93966,0.65457,1.03893,0.70363,1.20518,0.000973814,0.000973814,0.000973814
54,786.655,1.1275,0.87255,1.27524,0.89799,0.86022,0.9238,0.63432,1.13704,0.69948,1.25735,0.000972806,0.000972806,0.000972806
55,801.129,1.11782,0.85758,1.27155,0.89786,0.88172,0.93758,0.68826,0.94727,0.69451,1.16063,0.00097178,0.00097178,0.00097178
56,815.58,1.12675,0.86456,1.27876,0.88939,0.86457,0.91964,0.67976,0.96738,0.68802,1.18661,0.000970736,0.000970736,0.000970736
57,830.074,1.14099,0.87081,1.27628,0.88763,0.8494,0.91525,0.64402,1.01875,0.70458,1.18469,0.000969673,0.000969673,0.000969673
58,844.637,1.10352,0.86663,1.26708,0.90998,0.86022,0.93443,0.67695,0.97204,0.69837,1.16144,0.000968592,0.000968592,0.000968592
59,859.021,1.1115,0.84825,1.2561,0.92554,0.86878,0.93863,0.68903,0.9688,0.67698,1.17,0.000967493,0.000967493,0.000967493
60,873.49,1.11565,0.85556,1.26597,0.89913,0.84409,0.92862,0.66685,1.01437,0.67346,1.20052,0.000966375,0.000966375,0.000966375
