epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0047,1.69562,2.41763,1.75061,0.38632,0.36559,0.22745,0.08853,2.15067,3.77978,2.25843,0.0676471,0.000326797,0.000326797
2,125.83,1.703,1.7014,1.80431,0.00231,0.00538,0.00118,0.00024,4.66315,6.63813,14.262,0.0346471,0.000660124,0.000660124
3,188.266,1.75734,1.85574,1.85038,0.05314,0.11828,0.02824,0.00763,2.82217,23.3358,4.24987,0.00164702,0.000993425,0.000993425
4,250.06,1.77926,1.89388,1.84314,0.27862,0.26882,0.1961,0.0688,2.61812,16.625,2.80238,0.000999912,0.000999912,0.000999912
5,312.552,1.71136,1.80508,1.79206,0.39554,0.34478,0.31874,0.12816,2.0868,6.99909,2.31089,0.000999844,0.000999844,0.000999844
6,374.401,1.64564,1.73019,1.74578,0.70516,0.58065,0.6484,0.35851,1.47112,2.3789,1.73132,0.000999756,0.000999756,0.000999756
7,437.031,1.61847,1.67883,1.74939,0.62534,0.54839,0.52213,0.23638,1.74714,1.57382,1.94795,0.000999648,0.000999648,0.000999648
8,498.717,1.5957,1.63578,1.71164,0.71446,0.56989,0.5972,0.34919,1.38993,3.08086,1.59731,0.000999521,0.000999521,0.000999521
9,561.158,1.58074,1.58973,1.6983,0.6804,0.75544,0.71935,0.40718,1.4445,1.43829,1.56844,0.000999375,0.000999375,0.000999375
10,622.949,1.57456,1.54244,1.68973,0.83414,0.64895,0.76758,0.46389,1.28679,1.18767,1.52819,0.000999209,0.000999209,0.000999209
11,685.443,1.50728,1.4688,1.64534,0.77098,0.74194,0.80618,0.46782,1.23215,1.61145,1.42897,0.000999023,0.000999023,0.000999023
12,747.192,1.49204,1.42402,1.6326,0.84062,0.74731,0.85004,0.51117,1.25835,0.91,1.42433,0.000998818,0.000998818,0.000998818
13,809.685,1.49437,1.43311,1.62395,0.73114,0.58483,0.70191,0.35992,1.55653,1.2844,1.59042,0.000998594,0.000998594,0.000998594
14,871.339,1.47886,1.40702,1.61205,0.78841,0.7813,0.84131,0.55429,1.06733,0.99039,1.38669,0.00099835,0.00099835,0.00099835
15,933.808,1.44036,1.35632,1.59106,0.85061,0.74194,0.84666,0.55212,1.12823,0.99242,1.3621,0.000998086,0.000998086,0.000998086
16,995.423,1.42891,1.33443,1.5608,0.84814,0.72067,0.81328,0.49127,1.29126,0.98443,1.54485,0.000997803,0.000997803,0.000997803
17,1057.82,1.44061,1.35002,1.58406,0.78693,0.66129,0.80495,0.503,1.14789,1.21275,1.33548,0.000997501,0.000997501,0.000997501
18,1119.45,1.41111,1.32424,1.56352,0.76898,0.6828,0.73163,0.45426,1.26098,1.05723,1.40045,0.000997179,0.000997179,0.000997179
19,1181.85,1.39617,1.29029,1.55635,0.84824,0.69892,0.83077,0.53864,1.12942,0.85313,1.35176,0.000996838,0.000996838,0.000996838
20,1243.54,1.40404,1.27068,1.5366,0.8213,0.76344,0.8379,0.47763,1.46481,1.01049,1.47849,0.000996477,0.000996477,0.000996477
21,1305.95,1.37655,1.2426,1.53263,0.82295,0.72472,0.82447,0.51379,1.2682,1.0082,1.39137,0.000996097,0.000996097,0.000996097
22,1367.58,1.35653,1.22283,1.50961,0.78253,0.83186,0.87486,0.53595,1.26771,0.90354,1.36452,0.000995697,0.000995697,0.000995697
23,1429.9,1.34841,1.2041,1.50745,0.889,0.732,0.85781,0.59155,1.00952,0.86883,1.27471,0.000995278,0.000995278,0.000995278
24,1491.64,1.35254,1.20461,1.51252,0.83474,0.77419,0.85634,0.51659,1.25165,0.86151,1.33025,0.00099484,0.00099484,0.00099484
25,1553.96,1.35054,1.201,1.51864,0.82307,0.80034,0.89287,0.60873,0.95544,0.80003,1.22665,0.000994383,0.000994383,0.000994383
26,1615.85,1.33718,1.15692,1.50859,0.81158,0.8871,0.9042,0.60395,1.04026,0.75866,1.29201,0.000993906,0.000993906,0.000993906
27,1678.24,1.31988,1.13241,1.50204,0.86236,0.89785,0.91157,0.62101,0.93267,0.69579,1.22471,0.00099341,0.00099341,0.00099341
28,1739.99,1.31292,1.15903,1.48935,0.86236,0.88172,0.91954,0.63685,0.92925,0.65779,1.24701,0.000992894,0.000992894,0.000992894
29,1802.47,1.28859,1.11651,1.47468,0.86548,0.84409,0.90414,0.60061,1.12282,0.72143,1.28504,0.000992359,0.000992359,0.000992359
30,1864.09,1.32269,1.13214,1.48944,0.83647,0.83871,0.90626,0.63618,0.94113,0.71153,1.2265,0.000991805,0.000991805,0.000991805
31,1926.41,1.31025,1.11619,1.48382,0.8746,0.87634,0.93111,0.65198,0.97736,0.679,1.18619,0.000991232,0.000991232,0.000991232
32,1988.15,1.28326,1.10797,1.46662,0.86092,0.86532,0.90405,0.58922,1.03475,0.69855,1.24262,0.00099064,0.00099064,0.00099064
33,2050.45,1.28753,1.09078,1.46953,0.85894,0.88389,0.92787,0.63654,1.007,0.68141,1.28453,0.000990028,0.000990028,0.000990028
34,2112.06,1.26687,1.08725,1.45547,0.8316,0.84958,0.89947,0.61126,1.03038,0.72716,1.26899,0.000989398,0.000989398,0.000989398
35,2174.39,1.27203,1.07888,1.45963,0.84704,0.71456,0.85082,0.52507,1.2618,0.86807,1.36405,0.000988748,0.000988748,0.000988748
36,2236.03,1.25858,1.05703,1.4471,0.89821,0.90137,0.93129,0.67102,0.90408,0.60816,1.17274,0.000988079,0.000988079,0.000988079
37,2298.5,1.25048,1.06139,1.43871,0.89887,0.89247,0.93939,0.67342,0.96288,0.59169,1.21527,0.000987391,0.000987391,0.000987391
38,2360.25,1.24132,1.03429,1.43395,0.84706,0.83373,0.89437,0.66281,0.8765,0.6403,1.20238,0.000986684,0.000986684,0.000986684
39,2422.56,1.23787,1.02126,1.42843,0.82256,0.86559,0.90986,0.64849,0.94149,0.64518,1.19237,0.000985958,0.000985958,0.000985958
40,2484.26,1.23592,1.03462,1.42788,0.88487,0.86559,0.91485,0.68068,0.82634,0.62054,1.16814,0.000985213,0.000985213,0.000985213
41,2546.78,1.23236,1.01396,1.42778,0.86639,0.84409,0.90811,0.66513,0.89078,0.63513,1.18397,0.000984449,0.000984449,0.000984449
42,2608.37,1.21445,1.01458,1.40911,0.88564,0.79106,0.88253,0.61376,1.00104,0.67163,1.2612,0.000983666,0.000983666,0.000983666
43,2670.77,1.21813,1.01039,1.41189,0.85476,0.85431,0.91739,0.65036,0.98787,0.64093,1.24304,0.000982864,0.000982864,0.000982864
44,2732.39,1.20611,1.01018,1.42144,0.84465,0.83333,0.90057,0.65844,0.90528,0.64723,1.24714,0.000982043,0.000982043,0.000982043
45,2794.83,1.22366,1.01481,1.42258,0.8926,0.90323,0.94106,0.70719,0.79947,0.57267,1.13461,0.000981204,0.000981204,0.000981204
46,2856.67,1.20051,0.98319,1.39882,0.84665,0.84409,0.9041,0.6038,1.13542,0.73664,1.22907,0.000980345,0.000980345,0.000980345
47,2919.07,1.18297,0.98386,1.38343,0.88764,0.86559,0.92473,0.65657,0.93942,0.62581,1.19749,0.000979468,0.000979468,0.000979468
48,2980.7,1.15794,0.9461,1.37579,0.92412,0.7957,0.912,0.65905,0.8729,0.61705,1.21434,0.000978572,0.000978572,0.000978572
49,3043,1.16918,0.95562,1.37764,0.88811,0.89619,0.93316,0.67351,0.84867,0.56897,1.15129,0.000977658,0.000977658,0.000977658
50,3104.65,1.18081,0.9422,1.386,0.89596,0.84946,0.92889,0.67175,0.91382,0.56383,1.2073,0.000976725,0.000976725,0.000976725
51,3167.06,1.1738,0.94804,1.37674,0.88074,0.91318,0.93839,0.69082,0.84761,0.55081,1.16677,0.000975773,0.000975773,0.000975773
52,3228.76,1.16898,0.94758,1.378,0.90269,0.89247,0.93569,0.66551,0.93673,0.58646,1.15448,0.000974803,0.000974803,0.000974803
